DitchReservoirCompanyName,BusinessEntity_ID,Column,OldValue,NewValue
Agricultural Ditch And Reservoir Company,19871485638,Ditch_WDID_CSV,,0700502
Agricultural Ditch And Reservoir Company,19871485638,Ditch_WDID_CSV_Flag,x,G1
Alexis Arbaney Ditch Company,20001102133,Ditch_WDID_CSV,,3801121
Alexis Arbaney Ditch Company,20001102133,Ditch_WDID_CSV_Flag,x,G1
"Allen Basin Reservoir Company, Inc.",19871131752,Ditch_WDID_CSV,,5800506
"Allen Basin Reservoir Company, Inc.",19871131752,Ditch_WDID_CSV_Flag,x,G1
"Allen Basin Reservoir Company, Inc.",19871131752,Reservoir_WDID_CSV,,5803500
"Allen Basin Reservoir Company, Inc.",19871131752,Reservoir_WDID_CSV_Flag,x,G1
"Alpine Lakes Ditch And Reservoir Company, Inc.",19951153013,Ditch_WDID_CSV,,"7700504,7700519,7700551,7700552,7700648"
"Alpine Lakes Ditch And Reservoir Company, Inc.",19951153013,Ditch_WDID_CSV_Flag,x,G1
"Alpine Lakes Ditch And Reservoir Company, Inc.",19951153013,Reservoir_WDID_CSV,,"7703512,7703696"
"Alpine Lakes Ditch And Reservoir Company, Inc.",19951153013,Reservoir_WDID_CSV_Flag,x,G1
Amity Mutual Irrigation Company,19871100491,Ditch_WDID_CSV,,"1700555,6700520,6700533,6700575,6700607,6700672"
Amity Mutual Irrigation Company,19871100491,Ditch_WDID_CSV_Flag,x,G1
Amity Mutual Irrigation Company,19871100491,Reservoir_WDID_CSV,,"1703605,1703606,1703607,1703608"
Amity Mutual Irrigation Company,19871100491,Reservoir_WDID_CSV_Flag,x,G1
Anderson Ditch Company,19961125049,Ditch_WDID_CSV,,"0600501,0600753"
Anderson Ditch Company,19961125049,Ditch_WDID_CSV_Flag,x,G1
"Antonio Lopez Ditch Company, Inc.",19871233718,Ditch_WDID_CSV,,1900583
"Antonio Lopez Ditch Company, Inc.",19871233718,Ditch_WDID_CSV_Flag,x,G1
Antonito Ditch Company,19871113687,Ditch_WDID_CSV,,2200504
Antonito Ditch Company,19871113687,Ditch_WDID_CSV_Flag,x,G1
Arch Ditch Association,20131241429,Ditch_WDID_CSV,,"2800510,2800684,2801578,2801579"
Arch Ditch Association,20131241429,Ditch_WDID_CSV_Flag,x,G1
Arlian Ranch Ditch Company,19881059304,Ditch_WDID_CSV,,3801514
Arlian Ranch Ditch Company,19881059304,Ditch_WDID_CSV_Flag,x,G1
B. H. Eaton Ditch Company,19871052181,Ditch_WDID_CSV,,0301340
B. H. Eaton Ditch Company,19871052181,Ditch_WDID_CSV_Flag,x,G1
"Bagwell Ditch Company, Inc.",19961143964,Ditch_WDID_CSV,,"2200508,2200949"
"Bagwell Ditch Company, Inc.",19961143964,Ditch_WDID_CSV_Flag,x,G1
Bane And Thomas Ditch Company,20111251191,Ditch_WDID_CSV,,"3800521,3800522"
Bane And Thomas Ditch Company,20111251191,Ditch_WDID_CSV_Flag,x,G1
Bar Nothing Ranch Mutual Ditch And Reservoir Company,19891088103,Ditch_WDID_CSV,,1400656
Bar Nothing Ranch Mutual Ditch And Reservoir Company,19891088103,Ditch_WDID_CSV_Flag,x,G1
Bergen Ditch & Reservoir Company,19871006928,Ditch_WDID_CSV,,0900535
Bergen Ditch & Reservoir Company,19871006928,Ditch_WDID_CSV_Flag,x,G1
Bess Girl Ditch Company,19871429905,Ditch_WDID_CSV,,7800571
Bess Girl Ditch Company,19871429905,Ditch_WDID_CSV_Flag,x,G1
Bessemer Irrigating Ditch Company,19871017330,Reservoir_WDID_CSV,,1403527
Bessemer Irrigating Ditch Company,19871017330,Reservoir_WDID_CSV_Flag,x,G1
Big Blue Ditch Company,19871098930,Ditch_WDID_CSV,,6200528
Big Blue Ditch Company,19871098930,Ditch_WDID_CSV_Flag,x,G1
Big Stick Ditch Company,19871049594,Ditch_WDID_CSV,,3300554
Big Stick Ditch Company,19871049594,Ditch_WDID_CSV_Flag,x,G1
Big Thompson And Platte River Ditch Company,19871000162,Ditch_WDID_CSV,,0400502
Big Thompson And Platte River Ditch Company,19871000162,Ditch_WDID_CSV_Flag,x,G1
Big Thompson Ditch And Manufacturing Company,19871007283,Ditch_WDID_CSV,,0400503
Big Thompson Ditch And Manufacturing Company,19871007283,Ditch_WDID_CSV_Flag,x,G1
Bijou Irrigation Company,19871029704,Ditch_WDID_CSV,,0100507
Bijou Irrigation Company,19871029704,Ditch_WDID_CSV_Flag,x,G1
Bijou Irrigation Company,19871029704,Reservoir_WDID_CSV,,"0103570,0103653"
Bijou Irrigation Company,19871029704,Reservoir_WDID_CSV_Flag,x,G1
Billings Ditch Company,19871006674,Ditch_WDID_CSV,,2000546
Billings Ditch Company,19871006674,Ditch_WDID_CSV_Flag,x,G1
Bord Ditch Company,19871471142,Ditch_WDID_CSV,,3200512
Bord Ditch Company,19871471142,Ditch_WDID_CSV_Flag,x,G1
Boulder And Weld County Ditch Company,19871055908,Ditch_WDID_CSV,,"0600515,0600946,0600947"
Boulder And Weld County Ditch Company,19871055908,Ditch_WDID_CSV_Flag,x,G1
"Bowen Ditch Company, Inc.",19871107877,Ditch_WDID_CSV,,1100691
"Bowen Ditch Company, Inc.",19871107877,Ditch_WDID_CSV_Flag,x,G1
Bravo Ditch Company,19871015703,Ditch_WDID_CSV,,6400522
Bravo Ditch Company,19871015703,Ditch_WDID_CSV_Flag,x,G1
Brighton Ditch Company,19871002441,Ditch_WDID_CSV,,0200810
Brighton Ditch Company,19871002441,Ditch_WDID_CSV_Flag,x,G1
Briscoe Irrigation Company,19871093196,Reservoir_WDID_CSV,,0103809
Briscoe Irrigation Company,19871093196,Reservoir_WDID_CSV_Flag,x,G1
Brown And Baugh Ditch Company,19871052014,Ditch_WDID_CSV,,0700528
Brown And Baugh Ditch Company,19871052014,Ditch_WDID_CSV_Flag,x,G1
Buckhorn Highline Ditch Company,19871073711,Ditch_WDID_CSV,,0400574
Buckhorn Highline Ditch Company,19871073711,Ditch_WDID_CSV_Flag,x,G1
Bull Creek Reservoir Company,,Ditch_WDID_CSV,,7200718
Bull Creek Reservoir Company,,Ditch_WDID_CSV_Flag,x,G1
Bull Creek Reservoir Company,,Reservoir_WDID_CSV,,"7203887,7203888,7203889,7203890,7203891,7203892,7203893,7203894"
Bull Creek Reservoir Company,,Reservoir_WDID_CSV_Flag,x,G1
Butte Ditch Company,19871060679,Ditch_WDID_CSV,,"4000754,4000820,4006472"
Butte Ditch Company,19871060679,Ditch_WDID_CSV_Flag,x,G1
Canon City And Oil Creek Ditch Company,19871001603,Ditch_WDID_CSV,,1200509
Canon City And Oil Creek Ditch Company,19871001603,Ditch_WDID_CSV_Flag,x,G1
Canon City Hydraulic And Irrigating Ditch Company,19871001639,Ditch_WDID_CSV,,1200505
Canon City Hydraulic And Irrigating Ditch Company,19871001639,Ditch_WDID_CSV_Flag,x,G1
Capulin Ditch Company,20081545527,Ditch_WDID_CSV,,2100510
Capulin Ditch Company,20081545527,Ditch_WDID_CSV_Flag,x,G1
Chace Lateral Ditch Company,19871047724,Ditch_WDID_CSV,,4700550
Chace Lateral Ditch Company,19871047724,Ditch_WDID_CSV_Flag,x,G1
Chilcott Ditch Company,19871000942,Ditch_WDID_CSV,,1000593
Chilcott Ditch Company,19871000942,Ditch_WDID_CSV_Flag,x,G1
Chilili Ditch Company,19871084674,Ditch_WDID_CSV,,1900590
Chilili Ditch Company,19871084674,Ditch_WDID_CSV_Flag,x,G1
Cimarron Canal And Reservoir Company,19871345297,Ditch_WDID_CSV,,6200560
Cimarron Canal And Reservoir Company,19871345297,Ditch_WDID_CSV_Flag,x,G1
Clinton Ditch & Reservoir Company,19921052130,Reservoir_WDID_CSV,,3603575
Clinton Ditch & Reservoir Company,19921052130,Reservoir_WDID_CSV_Flag,x,G1
Clover Basin Irrigation Company,19871083835,Ditch_WDID_CSV,,0500552
Clover Basin Irrigation Company,19871083835,Ditch_WDID_CSV_Flag,x,G1
Clover Basin Irrigation Company,19871083835,Reservoir_WDID_CSV,,0504072
Clover Basin Irrigation Company,19871083835,Reservoir_WDID_CSV_Flag,x,G1
Commonwealth Irrigation Company,19871390617,Ditch_WDID_CSV,,2000623
Commonwealth Irrigation Company,19871390617,Ditch_WDID_CSV_Flag,x,G1
Conejos And San Rafael Ditch Company,19871040534,Ditch_WDID_CSV,,2200625
Conejos And San Rafael Ditch Company,19871040534,Ditch_WDID_CSV_Flag,x,G1
Consolidated Home Supply Ditch,,Reservoir_WDID_CSV,,0404136
Consolidated Home Supply Ditch,,Reservoir_WDID_CSV_Flag,x,G1
Costilla Ditch Company,19871007345,Ditch_WDID_CSV,,2000587
Costilla Ditch Company,19871007345,Ditch_WDID_CSV_Flag,x,G1
Cottonwood Lakes Reservoir Company,19871018079,Reservoir_WDID_CSV,,"7203923,7203924,7203925,7203926,7203932,7203933,7203934"
Cottonwood Lakes Reservoir Company,19871018079,Reservoir_WDID_CSV_Flag,x,G1
Crater Reservoir Company,19871067605,Reservoir_WDID_CSV,,4003463
Crater Reservoir Company,19871067605,Reservoir_WDID_CSV_Flag,x,G1
Crawford Clipper Ditch Company,19871007116,Ditch_WDID_CSV,,"4000500,4006022"
Crawford Clipper Ditch Company,19871007116,Ditch_WDID_CSV_Flag,x,G1
Currant Creek Ditch And Reservoir Company,19871041102,Ditch_WDID_CSV,,4000919
Currant Creek Ditch And Reservoir Company,19871041102,Ditch_WDID_CSV_Flag,x,G1
Darlington Ditch Company,19871018124,Ditch_WDID_CSV,,4600520
Darlington Ditch Company,19871018124,Ditch_WDID_CSV_Flag,x,G1
Davidson Ditch Company,19871001177,Ditch_WDID_CSV,,0600567
Davidson Ditch Company,19871001177,Ditch_WDID_CSV_Flag,x,G1
Deep Creek Reservoir Company,19871001089,Reservoir_WDID_CSV,,4203606
Deep Creek Reservoir Company,19871001089,Reservoir_WDID_CSV_Flag,x,G1
"Deep Cut Irrigating Ditch, Inc.",19871132059,Ditch_WDID_CSV,,4400589
"Deep Cut Irrigating Ditch, Inc.",19871132059,Ditch_WDID_CSV_Flag,x,G1
Del Rio Irrigating Ditch Company,19871963823,Ditch_WDID_CSV,,2200576
Del Rio Irrigating Ditch Company,19871963823,Ditch_WDID_CSV_Flag,x,G1
Delta Canal Company,19871010147,Ditch_WDID_CSV,,4100517
Delta Canal Company,19871010147,Ditch_WDID_CSV_Flag,x,G1
Denio & Taylor Mill Ditch Company,19871071481,Ditch_WDID_CSV,,0500548
Denio & Taylor Mill Ditch Company,19871071481,Ditch_WDID_CSV_Flag,x,G1
District 64 Reservoir Company,20061477924,Reservoir_WDID_CSV,,6404425
District 64 Reservoir Company,20061477924,Reservoir_WDID_CSV_Flag,x,G1
Don Quixote Ditch Company,19871020633,Ditch_WDID_CSV,,4000874
Don Quixote Ditch Company,19871020633,Ditch_WDID_CSV_Flag,x,G1
Dry Creek-Davidson Ditch Company,19871184098,Ditch_WDID_CSV,,0600569
Dry Creek-Davidson Ditch Company,19871184098,Ditch_WDID_CSV_Flag,x,G1
Duke Ditch Company,19871071560,Ditch_WDID_CSV,,"4000646,4000795,4000805,4000811,4000920,4000921,4001089,4001095,4001110,4001181,4001821,4001847"
Duke Ditch Company,19871071560,Ditch_WDID_CSV_Flag,x,G1
Durkee Ditch Company,19871034933,Ditch_WDID_CSV,,4000797
Durkee Ditch Company,19871034933,Ditch_WDID_CSV_Flag,x,G1
Duroux Ditch Company,19901069419,Ditch_WDID_CSV,,3800645
Duroux Ditch Company,19901069419,Ditch_WDID_CSV_Flag,x,G1
Eagle Ditch Company,19871001450,Ditch_WDID_CSV,,0400592
Eagle Ditch Company,19871001450,Ditch_WDID_CSV_Flag,x,G1
Eagle Park Reservoir Company,19981086031,Reservoir_WDID_CSV,,3703699
Eagle Park Reservoir Company,19981086031,Reservoir_WDID_CSV_Flag,x,G1
"Eaklor Ditch, Co.",20171126962,Ditch_WDID_CSV,,7700524
"Eaklor Ditch, Co.",20171126962,Ditch_WDID_CSV_Flag,x,G1
East Boulder Ditch Company,19871000125,Ditch_WDID_CSV,,0600575
East Boulder Ditch Company,19871000125,Ditch_WDID_CSV_Flag,x,G1
East Mancos Highline Ditch Company,20041017890,Ditch_WDID_CSV,,"3400522,3400608"
East Mancos Highline Ditch Company,20041017890,Ditch_WDID_CSV_Flag,x,G1
El Coda Ditch Company,19871099094,Ditch_WDID_CSV,,2200538
El Coda Ditch Company,19871099094,Ditch_WDID_CSV_Flag,x,G1
Ellington Ditch Company,19871063609,Ditch_WDID_CSV,,4001610
Ellington Ditch Company,19871063609,Ditch_WDID_CSV_Flag,x,G1
Enterprise Ditch Company,19871165271,Ditch_WDID_CSV,,0600576
Enterprise Ditch Company,19871165271,Ditch_WDID_CSV_Flag,x,G1
Ephraim Ditch Company,19871005487,Ditch_WDID_CSV,,2200541
Ephraim Ditch Company,19871005487,Ditch_WDID_CSV_Flag,x,G1
Excelsior Ditch Company,19871035844,Ditch_WDID_CSV,,2000627
Excelsior Ditch Company,19871035844,Ditch_WDID_CSV_Flag,x,G1
Fairport Reservoir And Ditch Company,19871038411,Reservoir_WDID_CSV,,0404118
Fairport Reservoir And Ditch Company,19871038411,Reservoir_WDID_CSV_Flag,x,G1
Farmer's Ditch Company,19871002667,Ditch_WDID_CSV,,"0600525,0600684,0600685"
Farmer's Ditch Company,19871002667,Ditch_WDID_CSV_Flag,x,G1
Farmers High Line Canal And Reservoir Company,19871007142,Ditch_WDID_CSV,,0700569
Farmers High Line Canal And Reservoir Company,19871007142,Ditch_WDID_CSV_Flag,x,G1
Farmers Independent Ditch Co,19871001377,Ditch_WDID_CSV,,0200824
Farmers Independent Ditch Co,19871001377,Ditch_WDID_CSV_Flag,x,G1
Feeder Ditch Company,19871076236,Ditch_WDID_CSV,,4100524
Feeder Ditch Company,19871076236,Ditch_WDID_CSV_Flag,x,G1
Feldman Ditch Company,19871149110,Ditch_WDID_CSV,,4001131
Feldman Ditch Company,19871149110,Ditch_WDID_CSV_Flag,x,G1
Fire Mountain Canal And Reservoir Company,19871078997,Ditch_WDID_CSV,,"4000926,4001133"
Fire Mountain Canal And Reservoir Company,19871078997,Ditch_WDID_CSV_Flag,x,G1
Fire Mountain Canal And Reservoir Company,19871078997,Reservoir_WDID_CSV,,"4003469,4003503"
Fire Mountain Canal And Reservoir Company,19871078997,Reservoir_WDID_CSV_Flag,x,G1
Fogg Ditch Company,19871060878,Ditch_WDID_CSV,,"4000759,4001404"
Fogg Ditch Company,19871060878,Ditch_WDID_CSV_Flag,x,G1
Forked Tongue/Holman Ditch Company,20111251063,Ditch_WDID_CSV,,4000706
Forked Tongue/Holman Ditch Company,20111251063,Ditch_WDID_CSV_Flag,x,G1
Forrest Ditch Company,19871110642,Ditch_WDID_CSV,,"4000691,4000758"
Forrest Ditch Company,19871110642,Ditch_WDID_CSV_Flag,x,G1
Fort Bent Ditch Company,20091085502,Ditch_WDID_CSV,,6700610
Fort Bent Ditch Company,20091085502,Ditch_WDID_CSV_Flag,x,G1
Fremont County Irrigating Ditch Company,19871006449,Ditch_WDID_CSV,,1200510
Fremont County Irrigating Ditch Company,19871006449,Ditch_WDID_CSV_Flag,x,G1
Fremont Pass Ditch Company,20091387469,Ditch_WDID_CSV,,"3701066,3701067"
Fremont Pass Ditch Company,20091387469,Ditch_WDID_CSV_Flag,x,G1
Fruit Growers Ditch And Reservoir Company,19871027412,Reservoir_WDID_CSV,,4003365
Fruit Growers Ditch And Reservoir Company,19871027412,Reservoir_WDID_CSV_Flag,x,G1
Gard Lateral Ditch Company,19871038827,Ditch_WDID_CSV,,4000710
Gard Lateral Ditch Company,19871038827,Ditch_WDID_CSV_Flag,x,G1
Gardeners' Mutual Ditch Company,19871061084,Ditch_WDID_CSV,,0200806
Gardeners' Mutual Ditch Company,19871061084,Ditch_WDID_CSV_Flag,x,G1
"Gilcrest Reservoir, L.L.C.",20081646900,Reservoir_WDID_CSV,,0203388
"Gilcrest Reservoir, L.L.C.",20081646900,Reservoir_WDID_CSV_Flag,x,G1
Godding Ditch Company,19871053541,Ditch_WDID_CSV,,"0600527,0600532,0600783"
Godding Ditch Company,19871053541,Ditch_WDID_CSV_Flag,x,G1
Goodhue Ditch & Reservoir Company,19871115861,Ditch_WDID_CSV,,"0600650,0600747"
Goodhue Ditch & Reservoir Company,19871115861,Ditch_WDID_CSV_Flag,x,G1
Graham Ditch Company,19871009876,Ditch_WDID_CSV,,0301321
Graham Ditch Company,19871009876,Ditch_WDID_CSV_Flag,x,G1
Grand County Irrigated Land Company,19871057099,Ditch_WDID_CSV,,"5100859,5100941,5101231"
Grand County Irrigated Land Company,19871057099,Ditch_WDID_CSV_Flag,x,G1
Grand Mesa Water Users Association,,Reservoir_WDID_CSV,,7203839
Grand Mesa Water Users Association,,Reservoir_WDID_CSV_Flag,x,G1
Grand River Ditch Company,19871064301,Ditch_WDID_CSV,,3900612
Grand River Ditch Company,19871064301,Ditch_WDID_CSV_Flag,x,G1
Grand Valley Irrigation Company,19871016509,Ditch_WDID_CSV,,"7200645,7200985,7201269,7201654"
Grand Valley Irrigation Company,19871016509,Ditch_WDID_CSV_Flag,x,G1
Grand Valley Water Users Association,,Ditch_WDID_CSV,,7200646
Grand Valley Water Users Association,,Ditch_WDID_CSV_Flag,x,G1
Greeley and Loveland Irrigation Company,19871029757,Ditch_WDID_CSV,,0400501
Greeley and Loveland Irrigation Company,19871029757,Ditch_WDID_CSV_Flag,x,G1
Greeley and Loveland Irrigation Company,19871029757,Reservoir_WDID_CSV,,0404135
Greeley and Loveland Irrigation Company,19871029757,Reservoir_WDID_CSV_Flag,x,G1
Green Ditch Company,19721238635,Ditch_WDID_CSV,,0600528
Green Ditch Company,19721238635,Ditch_WDID_CSV_Flag,x,G1
Grimes-Brooks Reservoir Company,19871126362,Reservoir_WDID_CSV,,5303966
Grimes-Brooks Reservoir Company,19871126362,Reservoir_WDID_CSV_Flag,x,G1
Hairpin Lateral Ditch Company,19871054775,Ditch_WDID_CSV,,"4100532,4100746"
Hairpin Lateral Ditch Company,19871054775,Ditch_WDID_CSV_Flag,x,G1
Hallenbeck No.2 Reservoir Co.,19871111983,Reservoir_WDID_CSV,,4203619
Hallenbeck No.2 Reservoir Co.,19871111983,Reservoir_WDID_CSV_Flag,x,G1
Handy Ditch Company,19871001590,Ditch_WDID_CSV,,0400521
Handy Ditch Company,19871001590,Ditch_WDID_CSV_Flag,x,G1
Handy Ditch Company,19871001590,Reservoir_WDID_CSV,,"0404125,0404146,0404166"
Handy Ditch Company,19871001590,Reservoir_WDID_CSV_Flag,x,G1
Hannah Mutual Ditch Company,20031142212,Ditch_WDID_CSV,,7200659
Hannah Mutual Ditch Company,20031142212,Ditch_WDID_CSV_Flag,x,G1
Hardtack Ditch Company,19871077184,Ditch_WDID_CSV,,"2100537,2100538"
Hardtack Ditch Company,19871077184,Ditch_WDID_CSV_Flag,x,G1
Harmony Ditch Company,19871045461,Ditch_WDID_CSV,,"6400511,6400818,6400819,6400820,6400821,6400822,6400833"
Harmony Ditch Company,19871045461,Ditch_WDID_CSV_Flag,x,G1
Hartland Ditch Company,19871024119,Ditch_WDID_CSV,,"4000879,4002254"
Hartland Ditch Company,19871024119,Ditch_WDID_CSV_Flag,x,G1
Henry Bolen Ditch Company,20031218819,Ditch_WDID_CSV,,3400534
Henry Bolen Ditch Company,20031218819,Ditch_WDID_CSV_Flag,x,G1
Hieland Ditch Company,19871216402,Ditch_WDID_CSV,,6800604
Hieland Ditch Company,19871216402,Ditch_WDID_CSV_Flag,x,G1
Highland Ditch Company,19871000986,Ditch_WDID_CSV,,0500526
Highland Ditch Company,19871000986,Ditch_WDID_CSV_Flag,x,G1
Hill & Brush Ditch Company,19871961221,Ditch_WDID_CSV,,0400522
Hill & Brush Ditch Company,19871961221,Ditch_WDID_CSV_Flag,x,G1
Hillsborough Extension Ditch Co.,19871113483,Ditch_WDID_CSV,,0400523
Hillsborough Extension Ditch Co.,19871113483,Ditch_WDID_CSV_Flag,x,G1
Hillsborough Extension Ditch Co.,19871113483,Reservoir_WDID_CSV,,0404129
Hillsborough Extension Ditch Co.,19871113483,Reservoir_WDID_CSV_Flag,x,G1
Hoehne Ditch Company,19871050852,Ditch_WDID_CSV,,1900571
Hoehne Ditch Company,19871050852,Ditch_WDID_CSV_Flag,x,G1
Holita Ditch And Reservoir Company,19871105238,Ditch_WDID_CSV,,1600579
