entity_id,company_name,wdids,water_source,earliest_year,county,matched_on,citation_url
19871485638,Agricultural Ditch And Reservoir Company,0700502,CLEAR CREEK,1860,JEFFERSON,AGRICULTURAL DITCH AND RESERVOIR,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/2013973
20001102133,Alexis Arbaney Ditch Company,3801121,SNOWMASS CREEK,1897,PITKIN,batch2-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1575956
19871131752,"Allen Basin Reservoir Company, Inc.",5800506;5803500,MILL CREEK,1953,ROUTT;RIO BLANCO,batch2-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/2018327
19951153013,"Alpine Lakes Ditch And Reservoir Company, Inc.",7700504;7700519;7700551;7700552;7700648;7703512;7703696,COYOTE CREEK,1890,ARCHULETA,ALPINE LAKES DITCH AND RESERVOIR,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1649802
19871100491,Amity Mutual Irrigation Company,1700555;1703605;1703606;1703607;1703608;6700520;6700533;6700575;6700607;6700672,ARKANSAS RIVER,1887,BENT;KIOWA;PROWERS,batch2-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1905912
19961125049,Anderson Ditch Company,0600501;0600753,BOULDER CREEK,1860,BOULDER,ANDERSON DITCH,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1865365
19871233718,"Antonio Lopez Ditch Company, Inc.",1900583,PURGATOIRE RIVER,1861,LAS ANIMAS,ANTONIO LOPEZ DITCH,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1532794
19871113687,Antonito Ditch Company,2200504,CONEJOS RIVER,1887,CONEJOS,batch2-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1544653
20131241429,Arch Ditch Association,2800510;2800684;2801578;2801579,TOMICHI CREEK,1885,SAGUACHE,ARCH DITCH ASSOCIATION,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1555712
19871178962,Arkansas Groundwater and Reservoir Association,1403593,ARKANSAS RIVER,1887,PUEBLO,batch4-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1971845
19881059304,Arlian Ranch Ditch Company,3801514,ROARING FORK RIVER,1982,EAGLE,batch2-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1576478
19871052181,B. H. Eaton Ditch Company,0301340,CACHE LA POUDRE RIVER,1911,WELD,B H EATON DITCH,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1477833
19961143964,"Bagwell Ditch Company, Inc.",2200508;2200949,CONEJOS RIVER,1885,CONEJOS,batch2-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1544658
20111251191,Bane And Thomas Ditch Company,3800521;3800522,THOMAS CREEK,1886,PITKIN,batch2-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1574866
19891088103,Bar Nothing Ranch Mutual Ditch And Reservoir Company,1400656,HUERFANO RIVER,1863,PUEBLO,BAR NOTHING RANCH MUTUAL DITCH AND RESERVOIR,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1925597
19871131281,Bear River Reservoir Co.,5803540,BEAR RIVER,1935,GARFIELD,batch4-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/2009139
19871133718,Beaver Reservoir Company,4003406,EAST FORK MINNESOTA CREEK,1956,GUNNISON,batch4-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1589193
19871006928,Bergen Ditch & Reservoir Company,0900535,TURKEY CREEK,1874,JEFFERSON,BERGEN DITCH AND RESERVOIR,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1511302
19871429905,Bess Girl Ditch Company,7800571,MIDDLE FORK PIEDRA RIVER,1936,HINSDALE,batch1-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1650126
19871017330,Bessemer Irrigating Ditch Company,1403527,ARKANSAS RIVER,1891,PUEBLO,BESSEMER IRRIGATING DITCH,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1525910
19871098930,Big Blue Ditch Company,6200528,BIG BLUE CREEK,1904,GUNNISON,BIG BLUE DITCH,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1633296
19871016631,Big Creek Reservoir Company,7203904;7203905;7203906;7203907;7203909,BIG CREEK,1893,MESA,batch4-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1648439
20121021822,Big Ditch Company,4000670,YOUNGS CREEK,1913,DELTA,batch5-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1585435
19871049594,Big Stick Ditch Company,3300554,LA PLATA RIVER,1890,LA PLATA,batch2-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1564680
19871000162,Big Thompson And Platte River Ditch Company,0400502,BIG THOMPSON RIVER,1865,WELD,BIG THOMPSON AND PLATTE RIVER DITCH,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1790824
19871007283,Big Thompson Ditch And Manufacturing Company,0400503,BIG THOMPSON RIVER,1861,LARIMER,batch2-promoted-verified,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1970086
